abandon,…を捨てる
obtain,…を得る
obvious,明らかな
occasion,場合，行事
occasionally,時折
occupy,…を占領する
occur,起きる
odds,可能性
offend,…の感情を害する
offense,法律違反
offer,…を差し出す
office,仕事部屋
officer,警官，役人
official,役人
offspring,子供
omit,…を省略する
once ,一度…すると
one,人
oneself,自分で，自ら
onto,…の上へ
opening night,初演の夜
operate,…を操作する
operation,運営，手術
opinion,意見
opponent,（対戦）相手
opportunity,機会
opposite,反対の
oppression,抑圧
optimistic,楽観的な
order ,注文
order ,…に命じる
ordinary,普通の
organ,器官
organization,組織
organize,…を組織する
oriental,東洋の
original,原文
originally,当初は
ornament,装飾品
orphan,孤児
others,他人
otherwise,さもないと
outcome,結果
outdated,時代遅れの
outlook,見通し
outrage,激怒
outside,外部の
outstanding,とても優れている
over,…の間ずっと，…をめぐって
overcome,…を克服する
overlook,…を見落とす
overseas,海外に
overwhelming,圧倒的な
owe,…を借りている，…を負っている
own ,…を所有する
owner,所有者
oxygen,酸素
,
,
pace ,ゆっくり歩く
package,…を包装する
paddy field,水田
pain,痛み
paint ,…を描く
painter,画家
painting,絵画
pal,友達
pale,青ざめた
panel,（計器）盤
pant,息を切らす
pants,ズボン
paper,答案用紙，新聞
paradox,逆説
paragraph,段落
pardon,許し
parent,親
park ,…を駐車する
Parliament,議会
part-time,アルバイトで
partial,部分的な
participate,参加する
particular,好みがうるさい，特定の
particularly,特に
party,政党，一団，当事者
pass,（判決を）言い渡す
passenger,乗客
passionate,熱のこもった
past ,過去の
pathetic,悲しみを誘う
patience,忍耐力
patient ,我慢強い
patient ,患者
pawnshop,質屋
pay ,給料
payment,支払い
PC,パソコン
peace,平和
peaceful,平和な
peasant,小作農
peculiar,奇妙な
peer,仲間
penalty,刑罰
penetrate,…に潜入する
peninsula,半島
per,１…当たり
perfect,完璧な
perfectly,完璧に
perform,…を行う［果たす］
performance,演技，演奏
perhaps,たぶん
period,期間
perish,死ぬ
permit,…に許可する
perpetual,永続的な
persist,あくまでも続ける
person,人
personal,個人の，個人的な
personality,人格
perspective,観点
persuade,…を説得する
pessimistic,悲観的な
phase,局面
phenomenon,現象
philosopher,哲学者
phone ,電話
phone ,…に電話をかける
photo,写真
photocopy,コピーする
photograph,写真
phrase,句，言い回し
physical,肉体［身体］的な
physicist,物理学者
piece,（（不可算名詞に用い））一つ
pile,（物の）山
pity,哀れみ
place ,場所
place ,…を置く
planet,惑星
plant,植物
plastic,ビニール
please ,…を喜ばせる
pleased,喜んでいる
pleasure,喜び
pledge,誓い
poet,詩人
poetry,詩歌
point,小数点
poisonous,有毒な
policy,政策
polish,…を磨く
polite,丁寧な
political,政治の
politician,政治家
politics,政治
pollution,公害
ponder,じっくりと考える
popular,人気のある
popularity,人気
populate,…に住む
population,人口
portion,部分
position,位置，立場
positive,プラスの
possess,…を所有する
possession,所有
possible,可能な
post-,…後の
postage,郵便料金
postal,郵便の
postpone,…を延期する
potential,潜在的な
pound ,（（通貨））ポンド
pound ,ガンガン叩く
pour,…を注ぐ
poverty,貧困
power,強国，大国
powerful,強力な
practical,実践［実用］的な
practice ,習慣的行為
practice ,…の練習をする
praise,…をほめる
prank,いたずら
pray,祈る
precaution,予防措置
precious,貴重な
precise,正確な
predict,…だと予想［予言］する
prefer,…をより好む
prejudice,偏見
preliminary,予備的な
premier,首相
preoccupied,そのことだけで頭がいっぱいで
prepare,準備をする
prepared,準備ができている
presence,（ある場所に）存在すること
present ,現在の，出席している
present ,…に授与する
preserve,…を維持［保持］する
president,大統領
presidential,大統領（職）の
presume,…だと推定する
pretend,…というふりをする
prevail,勝る
prevent,…を妨げる
previous,前の
price,値段
pride,誇り，自慢
priest,聖職者
primary,第一の
primary school,小学校
prime,第一の
primitive,原始的な
principal ,主要な
principal ,校長
principle,原理原則
prior,事前の
priority,優先（事項）
prisoner,囚人
private,私的な
privilege,特権
probably,おそらく
problem,問題
procedure,手続き
proceed,先へと進む
process ,過程
process ,…を加工・処理する
proclaim,…だと宣言する
produce,…を生み出す
product,製品
productivity,生産性
professor,教授
profit,利益
profitable,儲かる
profound,深い
program,計画，プログラム
progress,進歩
prohibit,…を禁じる
project,計画，事業
prolong,…を延長する
prominent,目立った
promise,約束
promising,（将来）有望な
promote,…を昇進させる，…を促進する
promotion,昇進
promptly,迅速に
proof,証拠
proper,適切な
properly,適切に
property,土地と建物
proportion,割合，比率
proposal,提案
propose,…を申し出る［提案する］
proposition,提案，事柄
prospect,見通し
prosperity,成功，繁栄
protect,…を保護する
protest,…に抗議する
proud,誇り［自慢］に思う
prove,…を証明する
provide,…に与える
province,州，省
provincial,地方の
provoke,…を引き起こす
psychiatrist,精神科医
psychological,心理的［精神的］な
psychology,心理
public,公的な，公共の
puddle,水たまり
puff,ぜいぜいと息を切らす
pull up,（車が）止まる
punch,…にパンチを食らわす
punctual,時間［期限］をきちんと守る
punish,…を罰する
pupil,児童
puppy,子犬
purchase,…を買う
purpose,目的
purse,ハンドバッグ
pursue,…を追い求める
,
,
quake,地震
qualification,資格
quality,品質
quarrel,口論する
quarter,四半期，15分
quit,…をやめる
quiver,震える
quote,…のことばを引用する
,
,
race,人種，民族
racism,人種差別
radical,急進的な
rage,激怒
railroad,鉄道
rainy,雨降りの
raise ,…を上げる，…を育てる
raise ,給料のアップ
rally,政治集会
ransom,身代金
rapidly,速く
rare,まれな
rarely,めったに…しない
rate,率，料金
rather,かなり
rational,合理的な
raw,生の
ray,光線
reach,…に達する
react,反応する
ready,準備が出来ている
real,本物の
reality,現実
realize,…に気がついている
really,非常に
reason,理由
recall,…を思い出す
receive,…を受け取る
recent,最近の
recently,最近
recession,不況
reckless,向こう見ずな
recognize,…だとわかる，…を認める
recommend,…を勧める
reconcile,…を和解［調和］させる
recover,回復する
recycle,…をリサイクルする
reduce,…を減らす
redundant,無駄な繰り返しがある
reference,参考
refined,洗練された，上品な
reflect,…を反映する
reformer,改革者
refrain,差し控える
refugee,難民
refuse,…を拒む
regain,…を取り戻す
regarding,…に関して
regime,政治体制
region,地域，地区
regional,地域の
register,…を示す，…を登録する
regret,…を残念に思う［後悔する］
regulation,規制
reign,統治期間
reject,…を拒絶する
related,関係のある
relationship,関係
relative,親戚
relatively,比較的に
release,…を解放する，…を発表する
relevant,関連のある
reliable,信頼できる
relief,救済，安堵
relieve,…を和らげる
religion,宗教
religious,信心深い
reluctant,しぶしぶの
remain,…のままである
remainder,余り
remark ,発言
remark ,…だと述べる
remarkable,際だった
remedy,治療（法）
remember,…を覚えている
remind,…に思い出させる
remove,…を取り除く
rent,…を賃借する
repair ,…を修理する
repair ,修理
repeat,…を繰り返す
replace,…を交換する
reply ,返答をする
reply ,返答
report card,成績表
reporter,記者
representative,代表者
reproach,非難
republic,共和国
reputation,評判
request,依頼
request,…を依頼する
require,…を要求する
rescue,救助
research,研究
resemble,…に似ている
resent,…に憤慨する
reserve,…を予約する
resident,居住者
resign,辞任する
resist,…に抵抗する
resistance,抵抗
resolve,…を固く決意する，…を解決する
resort,（よくない手段に）訴える
resource,資金
respect ,…を尊敬する
respect ,尊敬
respectively,それぞれ（順に）
respond,反応する
response,反応，応答
responsibility,責任
responsible,責任がある
restore,…を元の状態に戻す
restrict,…を制限する
restriction,制限
restructure,…を構築し直す
result,結果
retain,…を保持する
retire,退職する
retreat,退却する
return,（評決を）下す，戻る，…にお返しをする
reunion,再会
reveal,…を明らかにする
revenge,仕返し
revenue,歳入
reverse,…を逆転させる
review,…を調べる
revolt,暴動，反乱
revolutionary,革命の
reward,…に報いる
ride,…に乗って移動する
ridicule,…をあざける
ridiculous,ばかげている
right ,正しい，ふさわしい
right ,正しいこと，権利
right-hand,右手の
rigid,厳格な
riot,暴動
rise ,上昇
rise ,上がる
ritual,儀式
rob,…から強奪する
robbery,強盗
rocky,岩［石］の
role,役割
room,余地
root,根，根源
rotten,腐った
rough,荒れた
roughly,大雑把に
row,口論，列
rude,無礼な
rudeness,不作法
ruin,…を台無しにする
rule,規則
ruler,支配者
ruling ,支配［統治］している
ruling ,判決
rumor,噂
run,…を運営［経営］する
rural,いなかの
rush,ダッシュする
,
,
sack,袋
sacred,神聖な
sacrifice,…を犠牲にする
safe ,金庫
safety,安全
salaried,給料制の
salary,給料
same (the ～ ),同じこと
sanction,制裁
sarcastic,皮肉な
satire,風刺
satisfied,満足した
saucer,受け皿
savage,残忍な
save,…を省く，…を救う
saving,節約，貯金
say ,例えば
say ,発言権
saying,ことわざ
scandal,不祥事
scar,傷跡
scarcely,ほとんど…ない
scare,…を怖がらせる
scatter,…をまき散らす
scenery,風景
schedule,予定
scheme,計画
scholar,学者
science,科学
scientific,科学的な
scientist,科学者
scold,…を叱る
score,点数
scorn,軽蔑
Scotland Yard,ロンドン警視庁
scratch,…をひっかく
scream,悲鳴を上げる
sculpture,彫刻
search,…を捜す
second,秒
secondary school,中等学校
secretary,秘書
Secretary （the ～）,長官
section,部課
see,…に診てもらう［相談する］
seek,…を見つけようとする
seem,…のようだ
seize,…を拘束する
seldom,めったに…しない
selection,選ぶこと
self-control,自制心
self-interest,利己主義
self-righteous,独善的な
selfish,利己的な
Senate （the ～）,上院
senator,上院議員
senior,（地位・ポストが）より上で
sense ,…感，意味
sense ,…を感じ取る
sensible,理にかなった
sensibly,賢明に
sensitive,敏感な
sentence,文，判決
sentiment,感情
separate,別々の
separately,別々に
sergeant,軍曹
serious,深刻な
sermon,説法
servant,使用人
serve,（飲食物を客に）出す
session,会合
settle,…に決着をつける
several,いくつかの
severely,厳しく
sew,…を縫う
sexism,性差別
sexually,性的に
shake,…を振る
shame,残念なこと
shape,…を形作る
share,…を分かち合う
sharply,鋭く
shed,小屋
shelter,避難所
shepherd,羊飼い
shine,輝く
shirt,ワイシャツ
shocked,ショックを受けた
shop ,買い物をする
shoplift,万引きをする
shopper,買い物客
short-term,短期的な
shortly,すぐに
shot,発砲
shout,叫ぶ
shower,にわか雨
shrewd,明敏な
shriek,甲高い叫び声
shrine,神社
shy,内気な
side,側
sigh,ため息をつく
sight,見ること
sightseeing,観光
sign ,標識
sign ,…に署名する
signal,信号
signature,署名
silly,馬鹿な
silo,格納庫
similar,類似の
similarly,同様に
since,…なのだから
sincere,誠実な
single,独身の
sink,沈む
site,用地
situation,状況
size,大きさ
skid,横滑りする
skill,技能
skillful,巧みな
skip,（授業を）サボる
slap,…をぴしゃりと叩く
slaughter,…を虐殺する
slave,奴隷
sleepy,眠い
sleeve,そで
slice,一切れ
slightly,少し
slip,滑る
slippery,滑りやすい
sly,ずる賢い
small hours （the ～）,真夜中過ぎ（の時間）
smart,頭の良い
smell,…なにおいがする
smoke ,たばこを吸う
smuggler,密輸者
snarl,激しい口調で…と言う
sneak,静かに歩く
so-called,いわゆる
soar,急上昇する
sob,すすり泣く
social,社会的［社交的］な
socialism,社会主義
society,社会
sociology,社会学
soil,土壌
solar,太陽の
soldier,兵士
solemn,真剣な
solid,確固とした
solution,解決方法
solve,…を解く
some,およそ
somehow,何とか
somewhat,ある程度
somewhere,どこかに
sophisticated,洗練された
sophomore,（大学の）２年生
sorrow,悲しみ
sound ,…に聞こえる
source,源
spacecraft,宇宙船
spare,…をとりおく
specialist,専門家
species,種（しゅ）
specific,特定の
spectacular,壮観な
spectator,観客
speech,話
speed ,スピードを出して走る
speedy,迅速な
spelling,綴り
spill,…をこぼす
splendid,素晴らしい
split,…を分裂させる
spoil,…をだめにする
#NAME?,…な話し方の
spread,広がる
square,広場
stable,安定した
staff,職員，スタッフ
stage,舞台
stairs,階段
stand,…に耐える
standard,水準
stare,じっと見つめる
startle,…をびくっとさせる
starve,飢える
state ,状態
state ,…を明言する
statement,発言
States (the ～ ),アメリカ合衆国
statesman,政治家
statistics,統計
statue,像
status,地位
stay,…のままである
steady,着実な
steal,…を盗む
steel,鋼鉄
steer,…を導く
stepsister,異母［異父］姉妹
stepson,義理の息子
stimulating,刺激的な
stormy,嵐のように激しい
stout,肉付きの良い
strain,負荷
strange,奇妙な
strategy,戦略
streetcar,路面電車
strengthen,強くなる
stress,ストレス，抑圧
strict,厳しい
strictly,厳しく
strife,争い
strike,…を…の状態にする
strive,懸命に努力する
struggle,もがく
stubborn,頑固な
stuck,行き詰まって
study,調査
stumble,つまずく
stupid,馬鹿な
subject,話題，テーマ
submission,屈服
submissively,服従して
submit,…を提出する
substantial,かなりの
subtle,かすかな
suburb,郊外
subway,地下鉄
success,成功
successful,成功している
succession,連続
such,そのような
sudden,突然の
suffer,（苦痛を）経験する
suffering,苦痛
sufficient,必要十分な
suggest,…を提案［示唆］する
suicide,自殺
suit,…に合う
suited,（仕事に）適した
sum,金額
summarize,…を要約する
superb,素晴らしい
superior,より優れている
superpower,超大国
superstition,迷信
supervisor,監督者
supply,供給
support,支援
supporter,支援者
suppose,…ではないかと思う
suppress,…を抑える
Supreme Court （the ～）,最高裁判所
surgeon,外科医
surpass,…を越える
surplus,余剰，黒字
surrender,降伏する
surround,…を取り囲む
surroundings,環境
surveillance,監視
survey,調査
survive,生き残る
suspect ,容疑者
suspect ,…ではないかと疑う
suspected,疑いのある
suspend,…を一時停止にする
suspicious,疑っている
sustain,…を維持する
swallow,…を飲み込む
swamp,沼地
swear,ののしる
sweat,汗
swift,素早い
sympathy,同情
system,制度
,
,
tactics,戦術
take,…を必要とさせる
tale,話
talent,才能
talks,交渉
tap,…をポンと叩く
task,仕事
taste ,好み
taste ,…な味がする
tax,税金
teachers' room,職員室
tears,涙
tease,…をからかう
technology,科学技術
teenage,十代の
teens,十代
telegram,電報
telephone ,…に電話する
temper,気性，気分
temperature,温度，気温
temple,寺
temporarily,一時的に
temptation,誘惑
tense,緊張した
term,専門用語
terms,間柄，条件
terrible,ひどい
terrific,素晴らしい
terrify,…を怯えさせる
territory,領土
terror,大きな恐怖
terrorism,テロ
testimony,証言
textbook,教科書
thank,…に感謝する
theft,窃盗罪
theme,テーマ
theory,理論
therefore,それゆえに
thermometer,温度計
thesis,論文
thick,濃密な
think tank,シンク・タンク
Third World （the ～）,第三世界
thorough,完全な
those,人々
though,…だが
thought,考え
thoughtful,思いやりがある
threat,脅威
threaten,…を脅す
throat,喉
throne,王位
thunder,雷鳴
thus,それ故に
ticket,切符
tie,ネクタイ
tightly,しっかりと
till,…までずっと
times,時代
timid,臆病な
tiny,とても小さい
tired,疲れた
tiring,疲れるような
toast,乾杯
toddler,よちよち歩きの赤ん坊
toil,つらい労働をする
token,しるし
tolerate,…を許容する
tone,調子
tool,道具
torture,…を拷問にかける
total,完全な
totally,完全に
tough,困難な
tourist,観光客
toward,…に向かって
trace,跡形
trade,貿易
tradition,伝統
traditional,伝統的な
traffic,往来
traffic jam,交通渋滞
traffic light,信号
tragic,悲劇的な
train,…を訓練する
tranquil,静かな
transaction,取引
transfer,…を移転させる
transformation,変化
translate,…を翻訳する
transmit,…を送信する
transparent,見え透いた
transport,…を輸送する
trap,…を身動きできないようにする
trash,ごみ
trash can,ゴミ箱
treasure,宝物
treat,…を扱う，…を治療する
treatment,治療
treaty,条約
tremble,震える
trial,裁判
tribe,部族
trifle,些細な事
trillion,兆
triumph,際だった成功
trivial,ささいな
troop,軍隊
trot,早足で歩く
trouble,困った点
troubleshooter,紛争の解決者
trousers,ズボン
trust,…を信用する
truth,本当のこと
tumor,腫瘍
tune,曲
turn ,…になる
turn ,順番
twin,双子（の片方）
twist,（意外な）展開
typical,典型的な
,
,
ugly,醜い
ultimate,最終的な
umpire,審判
UN （the ～）,国連
unanimous,全員一致の
uncertain,確信がない
undergo,…を経験する
underground,地下
underwear,下着
unemployed,失業した
unexpected,予期せぬ
unfamiliar,馴染みがない
unfortunately,残念なことに
unidentified,正体不明の
union,組合
unique,独特な
universe （the ～）,宇宙
university,大学
unless,…でない限り
until,…までずっと
unusual,めずらしい
unwilling,気が進まない
(up)on,…と同時に
upset,心が動揺して
urban,都市の
urbanite,都市居住者
urge,…に強く勧める
urgent,至急の
useful,役に立つ
useless,役に立たない
usual,いつもの
usually,いつも
utilize,…を利用する
utmost,この上ない
utter,（ことばを）発する
utterly,完全に
,
,
vacant,空いている
vacation,休暇
vague,曖昧な
valuable ,貴重な
valuable ,貴重品
van,運搬用の車
vandalism,（公共物の）破壊
vanish,消える
vapor,蒸気
variety,多様，多種
various,さまざまな
vary,異なる
vehicle,乗り物
velocity,速度
vending machine,自動販売機
verdict,判決
vertical,垂直な
vessel,大型の船
via,…経由で
vice,副…
victim,犠牲者
view,見解
viewer,見物人
vigorous,活発な
vinegar,食用酢
vinyl,ビニール
violate,（約束を）破る
violence,暴力
violent,乱暴な
virtually,ほとんど
virus,ウィルス
visibility,視界
visitor,訪問客
vital,極めて重要な
vivid,鮮やかな
voice,声
volcano,火山
volume,量
voluntary,ボランティアの，任意の
vote,投票を行う
vow,誓い
vulgar,下品な
,
,
wage,賃金
wail,嘆き悲しむ
waist,腰
wallet,財布
wander,ぶらつく
wanted,指名手配中の
war,戦争
warfare,戦争
warm ,暖まる
warn,…だと警告する
warrior,戦士
waste,廃棄物
wasteful,無駄な
wave,手を振る
way,方法，道
weakness,弱点
wealth,富
wealthy,裕福な
weapon,兵器
weary,うんざりした
weather,天候
weekday,平日
weekend,週末
weep,しくしく泣く
weight,体重
welcome,…を歓迎する
welfare,福祉
well (間投詞),えーっと
well-being,幸福感
wharf,波止場
whatever,何であれ全て，どんな…も全て
wheat,小麦
whenever,…する時はいつでも
where ,…する場所に
whereabouts,居場所
whereas,…である一方で
while ,時間
while ,…している間に，…である一方で
whisper,ささやく
whistle,口笛を吹く
whoever,…は誰でも
whole,…全体
widely,広く
widespread,広範囲に渡る
widow,未亡人
will ,遺言，意志
win,（戦いに）勝つ
wipe,…をぬぐう
wisdom,知恵
wish,…に…がもたらされることを願う
withdraw,…を引き出す
withhold,…を与えずにおく
within,…以内に
without,…なしに
withstand,…に耐える
witness,証人
wonder ,…かなと思う
wonder ,驚き
wonderful,素晴らしい
workaholic,仕事中毒の人
workforce,労働者全体
worm,（足のない）虫
worn-out,疲れ切っている
worried,心配した
worry,心配する
worry,心配
worse,より悪い
worship,崇拝
worth,…の価値がある
worthwhile,時間をかける価値がある
worthy,価値がある
would,（よく）…したものだ，…であろうに
would-be,…志望の
wound,…を負傷させる
wrap,…を巻く
wrath,怒り
wrist,手首
wrong ,間違った
wrong ,悪いこと
,
,
yeah,ええ，うん（＝ yes）
yell,叫ぶ
yet,しかし
yield,屈する
you,人
youngster,若者
youth,若者
